Номер	Описание неисправности	SPN	FMI	Blink-Code				OBD2
				код вспышка	код вспышка	код вспышка	диагностический код	
1	Ошибка напряжения в расходомере впускного воздуха	132	11	2	3	4	P0001	P0100
2	Положительный коэффициент расходомера впускного воздуха выше максимального порогового значения	1694	15	2	3	4	P0002	P0101
3	Положительный коэффициент расходомера впускного воздуха выше максимального порогового значения (на холостом ходу) либо ниже минимального порогового значения	1694	17	2	3	4	P0003	P0101
4	Положительный коэффициент расходомера впускного воздуха на холостом ходу выше максимального порогового значения либо ниже минимального порогового значения	1694	16	2	3	4	P0004	P0101
5	Положительный коэффициент расходомера впускного воздуха выше максимального порогового значения, либо ниже минимального порогового значения	1694	18	2	3	4	P0005	P0101
6	Датчик расходомера впускного воздуха перемещен выше максимального порогового значения	1694	0	2	3	4	P0006	P0101
7	Датчик расходомера впускного воздуха перемещен ниже минимального порогового значения	1694	1	2	3	4	P0007	P0101
8	Ошибка сигнала аппаратного оснащения датчика расходомера	132	2	2	3	4	P0008	P0103
9	Исходный сигнал расходомера впускного воздуха превышает максимальное пороговое значение	132	3	2	3	4	P0009	P0103
10	Исходный сигнал расходомера воздуха ниже минимального порогового значения	132	4	2	3	4	P000A	P0102
11	Компрессор кондиционера работает без нагрузки	1351	5	3	1	3	P000B	P0645
12	Перегрев компрессора кондиционера	1351	6	3	1	3	P000C	P0645
13	Незамкнутая цепь при отключении нагрузки компрессора кондиционера	2978	5	3	1	3	P000D	P0645
14	Перегрев кондиционера компрессора при отключении нагрузки	2978	6	3	1	3	P000E	P0645
15	Короткое замыкание источника питания при отключении нагрузки компрессора кондиционера	2978	3	3	1	3	P000F	P0647
16	Короткое замыкание земли компрессора кондиционера при отключении нагрузки	2978	4	3	1	3	P0010	P0646
17	короткое замыкание источника питания при работе компрессора кондиционера	1351	3	3	1	3	P0011	P0647
18	Короткое замыкание земли при работе компрессора кондиционера	1351	4	3	1	3	P0012	P0646
19	Неисправность входного сигнала CAN шины переключателя кондиционера	985	14	3	1	4	P0013	U0424
20	Истечение времени ожидания входного сигнала CAN шины переключателя кондиционера	985	19	3	1	4	P0014	U0466
21	Прямое Отклонение контроллера регенерации воздуха превышает верхнее пороговое значение	1241	15	2	8	1	P0015	P0101
22	Негативное отклонение контроллера регенерации воздуха превышает верхнее порговое значение	1241	17	2	8	1	P0016	P0101
23	Прямое отклонение воздушного контроллера превышает верхнее пороговое значение	1241	0	2	8	1	P0017	P0402
24	Негативное отклонение воздушного контроллера превышает верхнее пороговое значение	1241	1	2	8	1	P0018	P0401
25	Превышение времени режима Rgn в режим Nrm воздушного контроллера	1241	11	2	8	1	P0019	P0100
26	Сигнал высокого напряжения в выключенном состоянии сетки обогрева впускного воздуха	2898	16	3	2	3	P001A	P2609
27	Сигнал низкого напряжения в выключенном состоянии сетки обогрева впускного воздуха	2898	18	3	2	3	P001B	P2609
28	Сигнал высокого напряжения во включенном состоянии сетки обогрева впускного воздуха	2898	15	3	2	3	P001C	P2609
29	Сигнал низкого напряжения во включенном состоянии сетки обогрева впускного воздуха	2898	17	3	2	3	P001D	P2609
30	Постоянно включена сетка обогрева впускного воздуха	2898	7	3	2	2	P001E	P2609
31	Неправильный сигнал холодного пуска при температуре_0	520195	2	4	8	1	P001F	P1000
32	Неправильный сигнал холодного пуска при температуре_1	520254	2	4	8	1	P0020	P1001
33	Неправильный сигнал холодного пуска при температуре_2	520255	2	4	8	1	P0021	P1002
34	Неправильный сигнал холодного пуска при температуре_3	520256	2	4	8	1	P0022	P1003
35	Неправильный сигнал холодного пуска при температуре_4	520257	2	4	8	1	P0023	P1004
36	Неправильный сигнал холодного пуска множественная температура	520258	2	4	8	1	P0024	P1005
37	Актуатор_0 короткое замыкание источника питания	3597	3	1	1	4	P0025	P0659
38	Актуатор_1 короткое замыкание источника питания	3598	3	1	1	5	P0026	P2671
39	Актуатор_2 короткое замыкание источника питания	3599	3	1	1	6	P0027	P2686
40	Актуатор_0 короткое замыкание земли	3597	4	1	1	4	P0028	P0658
41	Актуатор_1 короткое замыкание земли	3598	4	1	1	5	P0029	P2670
42	Актуатор_2 короткое замыкание земли	3599	4	1	1	6	P002A	P2685
43	Слишком высокое напряжение в аккумуляторе	167	3	1	2	4	P002B	P0563
44	Низкое напряжение аккумулятора	167	4	1	2	4	P002C	P0562
45	Сигнал напряжения аккумулятора слишком высокий	168	3	1	2	4	P002D	P0563
46	Сигнал напряжения аккумулятора слишком низкий	168	4	1	2	4	P002E	P0562
47	Сигналы основного и вспомогательного тормоза не совпадают	597	2	2	2	3	P002F	P0504
48	Ошибка сигнала тормоза	597	19	2	2	3	P0030	P0571
49	Ошибка главного провода А CAN шины	522000	14	4	1	1	P0031	U0073
50	Ошибка главного провода В CAN шины	522001	14	4	1	2	P0032	U0073
51	Ошибка главного провода С CAN шины	522002	14	0	0	0	P0033	U0073
52	Ошибка главного провода D CAN шины	522003	14	0	0	0	P0034	U0073
53	Ошибка выключенного главного провода А CAN шины	522000	12	4	1	1	P0035	U0073
54	Ошибка выключенного главного провода В CAN шины	522001	12	4	1	2	P0036	U0073
55	Ошибка выключенного главного провода С CAN шины	522002	12	0	0	0	P0037	U0073
56	Ошибка выключенного главного провода D CAN шины	522003	12	0	0	0	P0038	U0073
